Brazil                                                                                                                                                ,2018,100 ,   31.4,   13.4,    1.0,    5.1,      0,      0,   96.4,   35.0,      0,      0,      0,     55,     35,32,14,28,72,"10,264 ",Brazil,,,N,N,,
Brunei Darussalam                                                                                                                                     ,2018,95.5 ,   25.5,    0.2,      0,   95.8,    0.3,    0.3,   95.3,    0.0,    0.2,    4.2,      0, > 1000,    134,27,29,154,891,"11,205 ",Brunei Darussalam,,,I,I,,
Burkina Faso                                                                                                                                          ,2018,39.6 ,   44.1,   12.2,    0.7,    1.5,      0,      0,   18.5,   39.0,      0,      0,      0,    100,     35,12,5,104,61,"5,898 ",Burkina Faso,,,N,N,,
Burundi                                                                                                                                               ,2018,22.9 ,   69.0,   12.8,    0.8,   37.7,      0,    0.9,   19.9,   41.8,      0,    0.7,      0,    100,    100,11,32,62,95,"5,683 ",Burundi,,,N,I,,
Cabo Verde                                                                                                                                            ,2017,100.0 ,   16.0,   10.0,    4.7,   45.9,      0,      0,   45.2,   30.3,    2.0,    6.0,      0,     55,     50,12,13,80,130,"5,768 ",Cabo Verde,,,N,N,,
Cambodia                                                                                                                                              ,2017,100 ,   19.5,   11.1,    0.8,   16.0,      0,    0.0,   45.7,    9.7,    0.1,    9.7,      0,     60,     35,24,7,56,80,"10,810 ",Cambodia,,,N,N,,
Cameroon                                                                                                                                              ,,14.4 ,   79.9,,      0,,      0,,   14.4,,      0,,      0,     80,,2,,2,,,Cameroon,,,N,,,
Canada                                                                                                                                                ,2018,99.6 ,    6.5,    4.0,   40.3,   77.4,    2.9,    1.5,    6.9,    6.5,    1.1,    7.4,    0.4,    555,    549,555,201,340,500,"7,303 ",Canada,,,I,I,,
Central African Republic                                                                                                                              ,2017,61.5 ,   35.9,   18.0,      0,    0.6,      0,    0.4,   61.5,   47.9,      0,      0,      0,     70,     30,8,9,25,53,"5,652 ",Central African Republic,,,N,N,,
Chad                                                                                                                                                  ,,14.6 ,   79.9,,      0,,      0,,   14.6,,      0,,      0,     80,,2,,1,,,Chad,,,N,,,
Chile                                                                                                                                                 ,2018,100 ,   25.2,    6.0,    0.0,    0.7,      0,      0,  100.0,      0,    0.1,      0,      0,     98,      6,7,2,10,10,"8,577 ",Chile,,,N,N,,
China                                                                                                                                                 ,2018,100 ,   10.0,    9.8,    6.5,    7.2,      0,    0.3,   16.3,   15.1,    2.4,    2.2,      0,     65,     65,59,100,76,77,"11,791 ",China,,,N,N,,
Colombia                                                                                                                                              ,2018,100 ,   42.1,    5.4,    2.1,   51.1,      0,    6.7,   97.9,    0.9,    2.1,    0.9,      0,    227,     98,51,14,56,168,"7,707 ",Colombia,,,N,N,,
Comoros                                                                                                                                               ,2018,,,   15.4,,   11.7,,      0,,   73.1,,      0,,,     20,,3,,52,"5,350 ",Comoros,,,,N,,
Congo                                                                                                                                                 ,,17.2 ,   27.4,,      0,,      0,,   15.2,,      0,,      0,     30,,3,,26,,,Congo,,,N,,,
Cook Islands                                                                                                                                          ,2018,,,    3.3,,   98.8,,    0.9,,    1.1,,    1.1,,, > 1000,,52,,724,"6,777 ",Cook Islands,,,,I,,
Costa Rica                                                                                                                                            ,2018,100 ,   43.1,    5.6,    2.0,   51.6,      0,      0,   96.0,    1.2,    0.1,    1.2,      0,    233,    150,19,13,36,159,"10,349 ",Costa Rica,,,N,N,,
C“te d'Ivoire                                                                                                                                         ,2018,34.0 ,   11.2,   12.2,    0.7,    1.5,      0,      0,    2.5,   39.1,    0.1,      0,      0,     64,     35,15,5,59,61,"5,898 ",C“te d'Ivoire,,,N,N,,
Cuba                                                                                                                                                  ,2017,32.4 ,   21.6,   10.2,    2.0,    6.4,      0,      0,   14.9,    6.4,      0,      0,      0,     62,     30,28,13,77,65,"5,890 ",Cuba,,,N,N,,
Democratic Republic of the Congo                                                                                                                      ,,100 ,   96.1,,      0,,      0,,   98.9,,      0,,      0,    100,,9,,21,,,Democratic Republic of the Congo,,,N,,,
Djibouti                                                                                                                                              ,,100 ,   41.3,,    0.0,,      0,,   99.6,,    0.7,,      0,    450,,14,,50,,,Djibouti,,,N,,,
Dominica                                                                                                                                              ,2017,92.6 ,   59.7,    9.9,      0,   24.0,      0,      0,   92.6,   23.6,      0,    7.3,      0,    150,    165,4,21,41,159,"6,346 ",Dominica,,,N,N,,
Dominican Republic                                                                                                                                    ,2018,100 ,   34.0,    7.6,    2.4,   55.6,      0,      0,   89.4,   29.2,      0,    1.0,      0,     99,     99,13,12,35,134,"7,244 ",Dominican Republic,,,N,N,,
Ecuador                                                                                                                                               ,2018,100 ,   21.7,   12.3,      0,   35.1,      0,    5.9,   71.2,   36.4,    0.2,    0.8,      0,     86,     86,19,244,39,103,"7,996 ",Ecuador,,,N,N,,
Egypt                                                                                                                                                 ,2018,99.3 ,   36.6,   19.1,    1.9,   11.8,    0.2,    0.2,   69.8,   21.5,    0.4,    4.5,      0, > 1000, > 1000,42,33,412,731,"7,944 ",Egypt,,,N,N,,
El Salvador                                                                                                                                           ,2018,100 ,   36.9,    6.0,    2.4,   50.5,      0,      0,   97.6,    2.2,    0.2,    2.2,      0,    164,    164,15,11,36,140,"7,213 ",El Salvador,,,N,N,,
Eswatini                                                                                                                                              ,2018,94.3 ,   19.2,    7.7,   14.3,   60.4,      0,    2.7,   39.2,   20.7,    3.4,    9.6,      0,    597,    223,58,213,130,145,"7,905 ",Eswatini,,,N,I,,
Ethiopia                                                                                                                                              ,2018,,,   17.4,,    4.5,,    0.1,,   51.9,,      0,,,     35,,6,,67,"5,716 ",Ethiopia,,,,N,,
European Union                                                                                                                                        ,2018,100 ,    5.1,    5.2,   29.2,   28.0,    4.7,    5.0,    4.3,    4.5,    4.1,    4.3,      0,    556,    235,1186,913,218,180,"9,532 ",European Union,,,I,I,,
Fiji                                                                                                                                                  ,2018,51.1 ,   40.9,   11.1,      0,   13.3,    0.3,    1.9,   51.1,   14.6,    0.1,    0.8,      0,    559, > 1000,34,134,43,262,"6,278 ",Fiji,,,I,I,,
Gabon                                                                                                                                                 ,,100 ,   23.7,,      0,,      0,,   53.0,,      0,,      0,     60,,8,,71,,,Gabon,,,N,,,
The Gambia                                                                                                                                            ,2018,14.8 ,  103.5,   12.2,      0,    1.5,      0,      0,   14.8,   39.0,      0,      0,      0,    110,     35,9,5,20,61,"5,898 ",The Gambia,,,N,N,,
Georgia                                                                                                                                               ,2018,100 ,    7.3,    1.5,   24.7,   87.8,    0.4,    0.5,    2.1,    0.1,    0.8,   12.0,      0,    455,    455,39,56,126,315,"10,025 ",Georgia,,,I,I,,
Ghana                                                                                                                                                 ,2018,15.4 ,   92.5,   11.9,      0,    3.0,      0,      0,   15.4,   38.6,      0,      0,      0,     99,     35,6,5,21,63,"6,128 ",Ghana,,,N,N,,
Grenada                                                                                                                                               ,,100 ,   57.3,,    0.2,,      0,,   99.8,,    0.7,,      0,    200,,9,,37,,,Grenada,,,N,,,
Guatemala                                                                                                                                             ,,100 ,   41.3,,    2.0,,      0,,   94.0,,    0.6,,      0,    257,,27,,47,,,Guatemala,,,N,,,
Guinea                                                                                                                                                ,2018,39.2 ,   20.8,   12.1,    0.7,    1.7,      0,      0,   18.2,   38.6,    0.1,      0,      0,     75,     35,15,5,77,61,"6,128 ",Guinea,,,N,N,,
Guinea-Bissau                                                                                                                                         ,2018,97.8 ,   48.5,   12.2,      0,    1.5,      0,      0,   97.8,   39.0,      0,      0,      0,     50,     35,3,5,7,61,"5,898 ",Guinea-Bissau,,,N,N,,
Guyana                                                                                                                                                ,2018,100 ,   57.1,   10.9,      0,    9.5,      0,    0.0,  100.0,   25.0,      0,    7.7,      0,    100,    100,4,15,31,112,"6,373 ",Guyana,,,N,N,,
Haiti                                                                                                                                                 ,,88.1 ,   18.7,,    5.1,,    9.0,,   52.4,,    0.0,,      0,     70,,910,,59,,,Haiti,,,N,,,
Honduras                                                                                                                                              ,2018,100 ,   32.0,    5.7,    2.0,   50.7,      0,      0,   89.9,    0.6,    0.0,    0.6,      0,    164,    164,23,13,31,129,"7,394 ",Honduras,,,N,N,,
"Hong Kong, China                                                                                                                                      ",2018,47.7 ,      0,      0,   47.7,  100.0,      0,      0,      0,      0,      0,      0,      0,      0,      0,1,1,0,0,"7,576 ","Hong Kong, China",,,N,N,,
Iceland                                                                                                                                               ,2018,95.0 ,   24.0,    4.3,   43.6,   94.3,    3.2,    2.9,   32.2,    4.6,    5.5,    4.7,      0,    574,    470,434,361,250,484,"8,980 ",Iceland,,,I,I,,
India                                                                                                                                                 ,2018,74.3 ,   50.8,   17.1,    2.2,    2.0,    5.0,    4.8,   71.5,   33.2,    0.5,    2.4,      0,    300,    150,349,252,82,107,"11,776 ",India,,,N,N,,
Indonesia                                                                                                                                             ,2018,96.3 ,   37.1,    8.1,    2.4,   13.1,      0,    0.2,   90.6,    9.8,    0.4,    5.7,      0,    210,    150,17,33,35,131,"10,812 ",Indonesia,,,N,N,,
Israel                                                                                                                                                ,2017,75.6 ,   23.1,    3.9,   10.7,   65.2,    6.7,    3.2,   21.6,    3.1,    8.0,   11.7,    2.8,    560,    212,709,296,184,215,"8,531 ",Israel,,,N,N,,
Jamaica                                                                                                                                               ,,100 ,   50.4,,    0.5,,    0.0,,   84.5,,      0,,      0,    100,,13,,50,,,Jamaica,,,N,,,
Japan                                                                                                                                                 ,2018,99.7 ,    4.7,    4.4,   53.0,   53.0,    3.5,    3.5,    3.7,    3.6,    4.0,    4.1,      0,    723,    723,607,469,389,407,"9,611 ",Japan,,,I,I,,
Jordan                                                                                                                                                ,2018,100 ,   16.3,   10.1,    6.1,   54.6,    0.2,    0.1,   48.0,   33.4,    0.6,    0.5,      0,    200,    200,31,24,91,150,"6,913 ",Jordan,,,N,N,,
Kazakhstan                                                                                                                                            ,2018,100 ,    6.5,    6.4,   15.0,   15.6,    7.8,    8.0,    0.9,    1.0,    0.8,    0.7,   17.3,    303,    303,1238,475,109,111,"12,198 ",Kazakhstan,,,I,I,,
Kenya                                                                                                                                                 ,2018,16.4 ,   94.5,   13.5,      0,   37.6,      0,    7.1,   16.4,   42.5,      0,    0.8,      0,    100,    100,5,47,16,96,"5,683 ",Kenya,,,N,I,,
"Korea, Republic of                                                                                                                                    ",2018,94.9 ,   16.5,   13.7,   16.2,   15.1,    0.7,    0.5,   20.2,   10.7,    2.6,    2.7,      0,    887,    887,221,139,333,413,"12,488 ","Korea, Republic of",,,N,N,,
"Kuwait, the State of                                                                                                                                  ",2018,99.9 ,   97.9,    4.6,    2.1,   10.5,      0,    1.6,   97.8,    0.2,      0,    0.2,      0,    100,    100,2,3,20,113,"7,507 ","Kuwait, the State of",,,N,N,,
Kyrgyz Republic                                                                                                                                       ,2018,99.9 ,    7.5,    6.5,   19.6,   17.3,    0.5,    9.3,    3.0,    1.4,    0.1,    0.7,      0,    173,    173,50,378,76,90,"12,049 ",Kyrgyz Republic,,,I,I,,
Lao People's Democratic Republic                                                                                                                      ,2018,100 ,   19.0,    8.5,    1.1,    1.6,      0,      0,   56.4,    9.2,    0.7,    4.1,    0.4,     90,     40,18,12,59,78,"9,725 ",Lao People's Democratic Republic,,,N,N,,
Lebanese Republic                                                                                                                                     ,2018,,,    5.7,,   39.5,,    6.3,,    7.4,,    7.3,,,    221,,192,,195,"6,146 ",Lebanese Republic,,,,I,,
Lesotho                                                                                                                                               ,2018,100 ,   79.9,    7.7,      0,   60.4,      0,    2.7,  100.0,   20.7,      0,    9.6,      0,    200,    116,3,201,61,143,"7,905 ",Lesotho,,,N,I,,
Liberia                                                                                                                                               ,2018,100 ,   26.7,    9.7,    0.1,    1.8,      0,    0.4,   86.1,    9.8,      0,    0.3,    3.9,     50,     50,12,22,38,63,"6,250 ",Liberia,,,N,N,,
"Macao, China                                                                                                                                          ",2018,30.9 ,      0,      0,   30.9,  100.0,      0,      0,      0,      0,      0,      0,      0,      0,      0,1,1,0,0,"6,640 ","Macao, China",,,N,N,,
Madagascar                                                                                                                                            ,2018,30.6 ,   27.4,   11.6,    0.0,    5.7,      0,    0.2,   28.3,   38.4,      0,      0,      0,     30,     20,12,5,20,59,"6,729 ",Madagascar,,,N,N,,
Malawi                                                                                                                                                ,2017,34.0 ,   75.1,   12.4,      0,   32.1,      0,      0,   34.0,   37.5,      0,      0,      0,    125,     30,11,9,55,84,"5,695 ",Malawi,,,N,N,,
Malaysia                                                                                                                                              ,2017,84.3 ,   21.0,    5.6,    6.0,   66.2,    2.9,    0.7,   36.6,   13.2,    1.7,   13.1,      0, > 1000, > 1000,335,94,314,236,"11,681 ",Malaysia,,,I,I,,
Maldives                                                                                                                                              ,2018,95.0 ,   36.3,   13.0,      0,   30.8,      0,    0.0,   95.0,   30.4,    2.2,    3.2,      0,    300,    400,2,17,113,169,"8,119 ",Maldives,,,N,N,,
Mali                                                                                                                                                  ,2018,40.4 ,   29.5,   12.1,    0.7,    1.7,      0,      0,   19.3,   38.6,      0,      0,      0,     75,     35,12,5,88,61,"6,128 ",Mali,,,N,N,,
Mauritania                                                                                                                                            ,2018,40.5 ,   20.8,   12.1,    0.7,    3.7,      0,    0.4,   19.4,   39.1,    1.8,      0,      0,     75,     20,13,12,88,58,"5,521 ",Mauritania,,,N,N,,
Mauritius                                                                                                                                             ,2018,20.9 ,   86.6,    0.8,    5.1,   95.8,      0,      0,   15.9,    1.0,      0,    4.2,    0.3,    122,     80,5,6,63,444,"6,412 ",Mauritius,,,N,N,,
Mexico                                                                                                                                                ,2018,100 ,   36.2,    7.0,    0.3,   49.6,    1.0,    0.7,   98.7,   12.1,    0.8,    2.6,      0,    254,     75,100,71,45,148,"12,535 ",Mexico,,,I,N,,
"Moldova, Republic of                                                                                                                                  ",2018,100 ,    7.0,    5.3,   25.0,   37.1,    1.2,    1.6,    2.7,    1.7,    0.9,    1.7,      0,     76,     76,82,120,89,107,"9,474 ","Moldova, Republic of",,,I,I,,
Mongolia                                                                                                                                              ,2018,100 ,   17.5,    5.2,    1.5,    0.9,      0,      0,   77.7,    0.9,    0.0,    0.9,      0,     75,     40,13,10,36,48,"5,944 ",Mongolia,,,N,N,,
Montenegro                                                                                                                                            ,2018,100 ,    5.3,    3.7,   31.2,   32.0,      0,    0.6,    3.5,    2.8,    3.4,    4.9,    1.5,     50,     45,77,107,127,139,"9,532 ",Montenegro,,,N,I,,
Morocco                                                                                                                                               ,2017,100 ,   41.3,   11.4,    0.0,    0.0,      0,      0,   99.5,   29.1,    1.3,    5.7,      0,    289,    200,48,18,56,143,"18,274 ",Morocco,,,N,N,,
Mozambique                                                                                                                                            ,2018,14.7 ,   97.7,   10.3,      0,    3.8,      0,      0,   14.4,   35.0,      0,      0,      0,    100,     20,3,5,15,72,"5,550 ",Mozambique,,,N,N,,
Myanmar                                                                                                                                               ,2018,18.8 ,   83.3,    6.5,    1.1,    4.6,    0.1,      0,   15.1,    5.7,    0.5,    5.7,      0,    550,     40,27,10,107,102,"11,166 ",Myanmar,,,N,N,,
Namibia                                                                                                                                               ,2018,94.3 ,   19.2,    7.7,   14.3,   60.4,      0,    2.7,   39.2,   20.7,    3.4,    9.6,      0,    597,    223,58,215,130,148,"7,905 ",Namibia,,,N,I,,
Nauru                                                                                                                                                 ,2018,,,   12.3,,    4.2,,    1.5,,    2.9,,    0.6,,, > 1000,,50,,333,"5,314 ",Nauru,,,,I,,
Nepal                                                                                                                                                 ,2018,99.4 ,   26.3,   12.1,    2.5,    3.6,      0,    0.7,   87.6,   14.2,    0.5,    1.0,      0,    200,    200,14,56,49,91,"5,576 ",Nepal,,,N,I,,
New Zealand                                                                                                                                           ,2018,100 ,    9.7,    2.0,   48.9,   64.9,    3.2,    0.4,   30.2,    0.0,    7.5,    4.8,      0,    255,     45,310,21,118,132,"7,926 ",New Zealand,,,I,I,,
Nicaragua                                                                                                                                             ,2018,100 ,   40.9,    5.7,    1.9,   51.4,      0,      0,   98.0,    0.8,    0.1,    0.8,      0,    200,    164,8,12,27,130,"7,681 ",Nicaragua,,,N,N,,
Niger                                                                                                                                                 ,2018,96.8 ,   45.2,   12.2,    0.6,    1.5,      0,      0,   76.1,   39.0,    3.3,      0,      0,    200,     35,13,5,77,61,"5,898 ",Niger,,,N,N,,
Nigeria                                                                                                                                               ,,20.1 ,  120.9,,      0,,      0,,   20.1,,      0,,      0,    150,,7,,39,,,Nigeria,,,N,,,
North Macedonia                                                                                                                                       ,2018,100 ,    7.2,    6.7,   38.8,   43.9,    1.5,    1.4,   11.6,   11.2,    4.3,    4.2,      0,     74,     74,293,212,118,129,"9,850 ",North Macedonia,,,I,I,,
Norway                                                                                                                                                ,2018,100 ,   20.2,    6.6,   48.5,   89.4,   10.8,    6.1,    6.4,    5.5,    6.0,    5.2,      0, > 1000, > 1000,933,694,332,438,"7,178 ",Norway,,,I,I,,
Oman                                                                                                                                                  ,2018,100 ,   14.1,    5.6,    6.1,   10.5,      0,    0.7,    5.5,    1.1,    1.4,    1.1,      0,    200,    200,15,10,138,222,"7,507 ",Oman,,,N,I,,
Pakistan                                                                                                                                              ,2018,98.7 ,   60.9,   12.1,      0,      0,    0.0,    0.7,   95.1,   44.0,    0.0,    0.8,      0,    200,    147,18,58,37,90,"7,350 ",Pakistan,,,N,I,,
Palau                                                                                                                                                 ,2018,,,    3.8,,   14.2,,    2.4,,    1.0,,    1.0,,, > 1000,,92,,535,"5,279 ",Palau,,,,I,,
Panama                                                                                                                                                ,2018,100 ,   22.8,    5.1,    3.8,   56.9,    0.2,    0.1,   67.9,    1.1,    0.5,    1.1,      0,    260,    260,86,31,64,178,"8,983 ",Panama,,,N,N,,
Papua New Guinea                                                                                                                                      ,2018,100 ,   32.9,    4.3,      0,   75.7,    1.0,    0.9,   72.1,    3.7,    0.8,   16.9,      0,    324,    324,70,66,59,325,"5,825 ",Papua New Guinea,,,I,I,,
Paraguay                                                                                                                                              ,2018,100 ,   33.5,    9.8,      0,   13.8,      0,      0,   94.9,   27.3,      0,    0.1,      0,     35,     35,6,25,22,81,"10,313 ",Paraguay,,,N,N,,
Peru                                                                                                                                                  ,2018,100 ,   29.5,    2.4,    1.9,   68.1,      0,    0.5,   98.1,      0,      0,    9.9,      0,     68,     11,3,4,20,164,"7,789 ",Peru,,,N,N,,
Philippines                                                                                                                                           ,2018,67.0 ,   25.7,    6.2,    2.5,   11.4,    0.1,      0,   56.0,    3.3,    0.0,    3.3,      0,     80,     65,24,15,48,109,"11,731 ",Philippines,,,N,N,,
Qatar                                                                                                                                                 ,2018,100 ,   15.7,    4.8,    3.0,   10.5,      0,    1.6,   17.8,    0.2,    0.8,    0.2,      0,    200,    200,16,8,109,187,"7,507 ",Qatar,,,N,I,,
Russian Federation                                                                                                                                    ,2018,100 ,    7.6,    6.8,    3.4,   16.0,    9.1,    9.3,    1.8,    1.9,    0.7,    0.9,    0.2,    303,    303,1428,570,109,125,"12,049 ",Russian Federation,,,I,I,,
Rwanda                                                                                                                                                ,2018,100 ,   89.2,   11.3,    1.0,   45.1,      0,    0.7,   96.9,   37.0,      0,    0.8,      0,    100,    100,15,27,32,106,"5,684 ",Rwanda,,,N,I,,
Saint Kitts and Nevis                                                                                                                                 ,2018,95.7 ,   76.5,    9.1,      0,   25.8,      0,    0.3,   95.6,   21.6,    0.1,    2.7,      0,    250,     94,23,28,25,109,"6,292 ",Saint Kitts and Nevis,,,N,I,,
Saint Lucia                                                                                                                                           ,,99.8 ,   64.6,,      0,,      0,,   99.8,,    0.3,,      0,    250,,37,,46,,,Saint Lucia,,,N,,,
Saint Vincent and the Grenadines                                                                                                                      ,2018,99.7 ,   65.0,   10.0,      0,    8.7,      0,    0.0,   99.7,   23.9,    0.3,    5.7,      0,    250,    100,38,11,46,101,"6,432 ",Saint Vincent and the Grenadines,,,N,N,,
Samoa                                                                                                                                                 ,2018,100 ,   21.4,   11.4,      0,    2.5,    0.5,    0.4,   55.3,   28.9,    0.1,    0.3,    0.2,    108,    300,42,21,37,70,"5,482 ",Samoa,,,I,N,,
Sao Tom‚ and Principe                                                                                                                                 ,2018,,,    9.9,,    2.1,,    0.5,,   10.5,,      0,,,     20,,5,,43,"5,504 ",Sao Tom‚ and Principe,,,,N,,
"Saudi Arabia, Kingdom of                                                                                                                              ",2018,100 ,   11.0,    5.4,    6.8,    9.6,    1.3,    1.4,    1.3,    0.8,    0.2,    0.8,      0,    299,    299,109,23,121,210,"7,142 ","Saudi Arabia, Kingdom of",,,I,I,,
Senegal                                                                                                                                               ,2018,100 ,   30.0,   12.2,      0,    1.5,      0,      0,   99.8,   39.0,      0,      0,      0,     30,     35,2,5,2,61,"5,898 ",Senegal,,,N,N,,
Serbia                                                                                                                                                ,2018,,,    7.4,,    1.4,,    0.0,,   13.3,,    3.5,,,     30,,16,,96,"10,121 ",Serbia,,,,N,,
Seychelles                                                                                                                                            ,2018,100 ,    9.9,    3.2,   46.3,   86.7,      0,    0.5,   27.4,    8.9,    0.6,   11.4,    0.0,    200,    200,8,52,141,383,"5,845 ",Seychelles,,,N,N,,
Sierra Leone                                                                                                                                          ,,100 ,   47.3,,      0,,      0,,  100.0,,      0,,      0,     80,,7,,13,,,Sierra Leone,,,N,,,
Singapore                                                                                                                                             ,2018,72.0 ,    9.5,    0.0,   17.3,  100.0,    0.5,    0.0,    0.5,    0.0,    0.5,    0.0,      0, > 1000,     99,58,5,506,"4,994","9,557 ",Singapore,,,I,I,,
Solomon Islands                                                                                                                                       ,2018,100 ,   78.8,    9.7,      0,    0.9,    1.3,    0.8,   96.5,    0.5,    0.0,    0.3,      0,    287,    287,79,88,20,162,"5,510 ",Solomon Islands,,,I,I,,
South Africa                                                                                                                                          ,2018,94.3 ,   19.2,    7.7,   14.3,   60.4,      0,    2.7,   39.2,   20.7,    3.3,    9.6,      0,    597,    877,58,240,130,188,"7,905 ",South Africa,,,N,I,,
Sri Lanka                                                                                                                                             ,2018,40.5 ,   32.1,    9.3,    0.2,   62.3,    0.6,    4.1,   27.6,   19.3,    0.0,   18.9,      0,    175, > 1000,54,131,63,216,"7,428 ",Sri Lanka,,,N,I,,
Sudan                                                                                                                                                 ,2017,,,   21.5,,    7.7,,      0,,   53.5,,      0,,,     40,,5,,71,"6,991 ",Sudan,,,,N,,
Suriname                                                                                                                                              ,2018,27.7 ,   18.1,   10.4,    1.2,    4.5,    0.0,      0,   22.0,   24.6,      0,    6.2,      0,     40,     50,21,10,50,93,"6,289 ",Suriname,,,N,N,,
Switzerland                                                                                                                                           ,2018,99.7 ,    8.2,    6.6,   20.9,   25.0,   78.8,   75.0,    6.6,    4.9,    5.0,    4.1,      0, > 1000, > 1000,6683,6534,373,470,"8,522 ",Switzerland,,,I,I,,
Chinese Taipei                                                                                                                                        ,2018,100 ,    6.8,    6.5,   30.3,   30.3,    1.2,    1.2,    8.5,    8.7,    4.5,    7.6,    1.1,    500,    500,267,182,214,214,"9,133 ",Chinese Taipei,,,N,N,,
Tajikistan                                                                                                                                            ,2017,100 ,    8.1,    7.7,   11.8,    4.6,    0.4,    0.5,    7.3,    0.8,    0.7,    0.7,    0.0,    264,    264,63,31,86,76,"10,960 ",Tajikistan,,,I,I,,
Tanzania                                                                                                                                              ,2018,14.5 ,  120.0,   13.0,      0,   37.6,      0,    1.1,   14.5,   42.2,      0,    0.7,      0,    120,    120,1,37,0,95,"5,683 ",Tanzania,,,N,I,,
Thailand                                                                                                                                              ,2017,75.2 ,   27.9,    9.6,    2.2,   36.6,   18.7,    9.9,   66.3,   21.5,    0.9,   15.1,      0,    787,    549,1126,201,69,148,"10,812 ",Thailand,,,I,I,,
Togo                                                                                                                                                  ,2018,15.0 ,   80.0,   12.2,      0,    1.5,      0,      0,   15.0,   39.0,      0,      0,      0,     80,     35,1,5,0,61,"5,898 ",Togo,,,N,N,,
Tonga                                                                                                                                                 ,2017,100.0 ,   17.6,   11.2,      0,   17.5,    0.0,      0,   52.7,    8.2,      0,      0,      0,     20,     20,4,5,14,62,"5,457 ",Tonga,,,N,N,,
Trinidad and Tobago                                                                                                                                   ,,100 ,   56.0,,    1.5,,      0,,   95.0,,      0,,      0,    156,,16,,37,,,Trinidad and Tobago,,,N,,,
